Id,Title,Senior,Company,Location,Salary,Currency,date
1.0,Machine Learning Researcher,False,RTB House,Zdalnie    +2,30 000  – 47 000  PLN,PLN,01.05.2023
2.0,PhD student in Reinforcement Learning,False,Uniwersytet Jagielloński,Kraków,12 550  PLN,PLN,01.05.2023
3.0,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,92 250  – 180 811  PLN,PLN,01.05.2023
4.0,Remote Senior ML Developer,True,Link Group,Zdalnie    +5,22 000  – 32 000  PLN,PLN,01.05.2023
5.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN,01.05.2023
6.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN,01.05.2023
7.0,Machine Learning Engineer NLP,False,Saventic Health,"Warszawa  , pl",12 000  – 18 000  PLN,PLN,01.05.2023
8.0,Data Scientist Lead,True,Objectivity,Zdalnie    +2,30 240  – 38 640  PLN,PLN,01.05.2023
9.0,MLOps Engineer,False,LiveChat,Zdalnie    +1,18 000  – 34 000  PLN,PLN,01.05.2023
10.0,MLOps Platform Engineer,False,PKO Finat Sp. z o.o.,Warszawa,16 800  – 21 840  PLN,PLN,01.05.2023
11.0,Research Manager,False,Snowflake,Warszawa,30 000  – 60 000  PLN,PLN,01.05.2023
12.0,Mid/Senior MLOps Engineer,True,GetInData | Part of Xebia,Zdalnie    +1,16 800  – 33 600  PLN,PLN,01.05.2023
13.0,Senior Python Engineer ( AI Squad ),True,Lepaya,"Amsterdam  , NL",26 766  – 36 325  PLN,PLN,01.05.2023
14.0,Cloud DevOps Engineer,False,ERGO Technology &amp; Services,Zdalnie    +2,16 000  – 26 000  PLN,PLN,01.05.2023
15.0,Senior Machine Learning Engineer,True,"Secret Sauce Partners, Inc.",Zdalnie,11 059  – 22 118  PLN,PLN,01.05.2023
16.0,Python Developer (Physics - AI),False,Arcadia Astronautics,"Budapest  , HU",14 745  – 24 576  PLN,PLN,01.05.2023
